"school_id","school_name","total_students","grade_breakdown","phase1_exam_takers","phase2_qualified","phase2_exam_takers","phase2_paid","phase1_to_phase2_conversion","qualification_to_completion_rate"
"4sjFu9kU9UBEyhItAcPi","Wisdom High International School","1","{""7"":1}","1","1","0","0","100","0"
"53mnJWyvai9yxr60Cx0i","Gurukul The School, Ghaziabad","196","{""6"":28,""7"":34,""8"":29,""9"":27,""10"":32,""11"":31,""12"":15}","196","101","5","6","51.53","4.95"
"DwTnI2QhKAZWjte4LjK2","JBCN","1","{""6"":1}","1","1","0","0","100","0"
"RTz1fm1uCLBUFkUmTzLs","The Shishukunj International School","1","{""9"":1}","1","1","0","0","100","0"
"1q6kNqukuxZLH7Uk1nEE","Guru Kripa Divine Grace Public School","1","{""9"":1}","1","0","0","0","0","0"
"6gjI5cJvYtgQQqUtbJyb","The Assam Valley School","0","{}","0","0","0","0","0","0"
"nwj4yhlt55BCnzZRNOSp","Jayshree Periwal High School","1","{""6"":1}","1","1","0","0","100","0"
"rec9zay2wtKBa16y5","aLphabet internationaL schooL","0","{}","0","0","0","0","0","0"
